GeneID	HHCCW	HHCCX	HHCCY	HHCGA	HHCGB	HHCGG	HHCGH	HHCGN	HHCGO	HHCGP	HHCGT	HHCGU	HHCGW	HHCGX	HHCGY	HHCCZ	HHCGC	HHCGS
jgi.p|Neosp1|516954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|516969	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|516999	0.0	0.0	0.03	0.0	0.03	0.15	0.09	0.37	0.28	0.08	0.0	0.36	0.31	0.13	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517007	4.55	5.73	8.42	28.24	28.42	28.11	33.92	32.63	29.77	32.5	31.58	12.62	22.85	35.1	8.7	33.99	23.48	33.36
jgi.p|Neosp1|517010	0.63	1.13	0.53	0.85	1.68	1.13	1.34	1.35	1.14	1.6	2.58	1.67	1.81	1.38	2.2	0.55	0.5	0.53
jgi.p|Neosp1|517022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517024	0.0	0.0	0.13	0.0	0.0	0.0	0.17	0.24	0.13	0.15	0.0	0.25	0.22	0.0	0.0	0.0	0.0	0.13
jgi.p|Neosp1|517029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517036	12.95	11.27	9.89	20.37	31.7	12.35	16.19	20.26	15.65	19.68	28.21	22.7	19.8	21.64	13.33	23.4	25.19	21.91
jgi.p|Neosp1|517041	3.41	1.98	3.2	4.03	5.61	4.87	3.93	4.98	4.01	4.37	4.92	4.71	4.71	5.21	4.81	6.25	4.43	3.18
jgi.p|Neosp1|517044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517048	5.42	3.49	3.01	2.95	3.79	4.24	3.22	6.47	4.81	4.41	7.45	5.37	3.47	3.91	5.49	1.48	1.02	0.47
jgi.p|Neosp1|517049	1.71	2.7	2.68	3.35	4.17	3.06	4.39	4.41	3.36	4.69	3.89	3.97	2.83	3.96	4.4	2.02	0.26	0.24
jgi.p|Neosp1|517063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517069	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.46	0.0	0.28	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517070	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517071	1.36	4.01	2.27	2.14	6.53	4.2	2.8	0.59	5.6	2.55	1.39	0.94	2.17	2.51	1.36	4.75	0.72	0.33
jgi.p|Neosp1|517073	64.35	59.72	69.61	42.71	33.45	33.1	30.07	30.17	31.06	35.09	92.54	34.71	20.19	39.71	23.07	56.16	10.07	5.76
jgi.p|Neosp1|517079	0.26	0.56	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517080	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
jgi.p|Neosp1|517082	0.0	0.0	0.0	0.09	0.0	0.0	0.07	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517083	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517087	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517097	0.45	0.2	0.39	0.14	0.04	0.63	0.39	0.79	0.79	0.49	0.52	1.46	0.61	0.85	0.07	0.0	0.0	0.05
jgi.p|Neosp1|517098	0.81	0.45	0.81	0.0	0.36	0.35	0.65	0.88	1.65	0.18	1.05	3.14	0.68	0.47	0.45	0.0	0.18	0.0
jgi.p|Neosp1|517100	1.14	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	1.25	2.76	13.34
jgi.p|Neosp1|517101	10.26	6.96	10.36	8.18	9.37	9.79	10.65	12.4	9.75	12.69	35.4	17.28	9.61	9.8	10.76	25.5	57.13	86.11
jgi.p|Neosp1|517103	4.07	5.26	13.67	9.94	9.82	46.09	62.86	49.42	52.36	60.81	42.33	43.96	29.46	32.04	33.83	0.49	0.48	0.16
jgi.p|Neosp1|517111	0.08	0.03	0.02	0.0	0.05	0.0	0.0	0.0	0.02	0.0	0.0	0.18	0.0	0.0	0.49	0.04	0.0	0.0
jgi.p|Neosp1|517115	1.61	1.98	1.93	2.05	3.14	3.89	4.15	2.83	4.28	4.46	10.35	4.31	2.61	3.73	5.88	0.66	0.66	0.37
jgi.p|Neosp1|517116	1.64	2.56	3.74	3.69	2.65	2.68	4.48	5.13	5.68	5.19	7.06	3.87	2.22	3.95	7.69	1.46	0.59	0.63
jgi.p|Neosp1|517122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0
jgi.p|Neosp1|517127	0.08	0.25	0.09	0.34	0.34	0.0	0.18	0.16	0.65	0.1	0.78	0.0	0.0	0.0	0.25	1.34	0.0	0.0
jgi.p|Neosp1|517128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.34	0.0
jgi.p|Neosp1|517130	0.53	0.72	0.85	1.1	0.71	5.46	8.83	8.77	3.64	4.86	10.21	1.43	1.06	3.68	0.44	1.16	1.05	1.28
jgi.p|Neosp1|517132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|517138	2.17	3.3	1.94	10.56	9.44	0.0	0.0	0.0	0.09	0.0	0.0	0.09	0.0	0.0	0.0	25.53	0.0	0.0
jgi.p|Neosp1|517142	1.32	0.31	0.68	0.64	1.85	1.46	1.2	3.26	1.37	2.28	1.94	1.53	1.13	1.74	1.26	2.89	0.25	0.0
jgi.p|Neosp1|517144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
