GeneID	HHCCZ	HHCCW	HHCCX	HHCCY	HHCGA	HHCGB	HHCGG	HHCGH	HHCGN	HHCGO	HHCGP	HHCGT	HHCGU	HHCGW	HHCGX	HHCGY	HHCGC	HHCGS
jgi.p|Neosp1|498611	0	0	0	0	0	0	0	22	3	5	7	1	5	4	6	0	2	10
jgi.p|Neosp1|498612	0	0	0	0	0	0	7	54	12	23	34	2	45	23	15	2	10	31
jgi.p|Neosp1|498614	0	0	0	0	0	0	1	5	0	2	3	0	2	1	0	0	11	20
jgi.p|Neosp1|498616	9	0	0	1	5	4	20	70	28	33	43	42	1	7	3	0	27	33
jgi.p|Neosp1|498624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498647	108	221	137	297	200	280	99	394	172	247	224	81	161	235	272	131	15	12
jgi.p|Neosp1|498651	0	3	0	2	0	4	3	10	9	14	8	4	28	14	15	6	2	1
jgi.p|Neosp1|498652	0	2	0	1	0	1	0	0	3	4	4	0	0	1	3	0	0	0
jgi.p|Neosp1|498656	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
jgi.p|Neosp1|498665	463	549	539	940	1109	1695	489	1377	621	1137	769	282	1349	1421	1189	866	2520	5291
jgi.p|Neosp1|498680	0	0	0	0	0	0	1	14	13	5	14	56	0	3	4	4	1	1
jgi.p|Neosp1|498682	5	8	4	4	4	4	6	4	5	3	9	1	2	4	5	0	32	36
jgi.p|Neosp1|498690	0	50	53	36	1	0	0	4	1	3	0	14	27	7	3	3	0	1
jgi.p|Neosp1|498709	1	8	4	3	0	5	18	47	30	60	22	10	117	62	36	15	0	2
jgi.p|Neosp1|498710	0	1	2	0	0	0	5	8	3	4	5	0	10	5	2	1	0	0
jgi.p|Neosp1|498715	0	11	7	10	6	6	14	24	19	37	26	14	67	33	21	22	0	1
jgi.p|Neosp1|498716	0	1	0	0	0	1	8	12	5	5	6	0	18	21	3	3	0	0
jgi.p|Neosp1|498718	2	13	2	8	2	5	11	36	27	35	20	11	89	34	24	11	7	3
jgi.p|Neosp1|498720	38	185	113	212	176	253	100	407	164	219	234	129	212	201	171	110	9	1
jgi.p|Neosp1|498737	2	29	20	27	27	53	24	111	59	54	67	43	132	71	54	38	3	1
jgi.p|Neosp1|498742	286	955	715	1173	755	1099	432	1774	732	1045	966	318	1020	1029	1243	741	474	913
jgi.p|Neosp1|498746	34	46	14	47	58	60	15	46	25	31	36	25	46	51	60	34	29	14
jgi.p|Neosp1|498755	1	0	0	0	0	1	3	1	5	1	3	5	7	5	3	0	1	1
jgi.p|Neosp1|498770	0	0	0	0	1	1	1	2	2	5	5	3	9	2	7	2	0	0
jgi.p|Neosp1|498775	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498782	152	356	208	244	418	439	141	563	207	331	336	169	243	384	411	172	75	23
jgi.p|Neosp1|498785	0	0	0	2	3	1	5	7	2	8	8	2	11	13	3	2	0	1
jgi.p|Neosp1|498786	1	1	0	0	4	3	13	39	13	36	19	8	55	31	8	5	1	0
jgi.p|Neosp1|498799	48	51	53	80	24	71	7	35	22	41	21	83	64	64	34	52	100	177
