query_seq_id,subject_seq_id,percent_identity,Query Coverage Per HSP
386980.0,386980.0,100.0,100.0
387239.0,387240.0,100.0,100.0
387504.0,387505.0,100.0,100.0
387525.0,387525.0,100.0,100.0
387531.0,387531.0,100.0,100.0
387547.0,387547.0,100.0,100.0
387689.0,387691.0,100.0,100.0
387692.0,387693.0,100.0,100.0
387974.0,387975.0,100.0,100.0
388022.0,388022.0,100.0,100.0
388081.0,388081.0,100.0,100.0
388102.0,388102.0,100.0,100.0
388251.0,388251.0,100.0,100.0
388260.0,388262.0,100.0,100.0
388273.0,388275.0,100.0,100.0
388280.0,388282.0,91.409,100.0
388288.0,388288.0,100.0,100.0
388293.0,388295.0,100.0,100.0
388331.0,388331.0,100.0,100.0
388380.0,388381.0,100.0,100.0
388573.0,388573.0,100.0,100.0
388628.0,388629.0,100.0,99.0
388683.0,388683.0,100.0,100.0
388844.0,388844.0,100.0,100.0
388908.0,388909.0,100.0,100.0
388976.0,388976.0,100.0,100.0
389007.0,389008.0,100.0,100.0
389058.0,389058.0,100.0,100.0
389104.0,389105.0,98.867,100.0
389110.0,389110.0,100.0,100.0
389133.0,389134.0,100.0,100.0
389154.0,389155.0,100.0,100.0
389239.0,389239.0,100.0,100.0
389292.0,389292.0,100.0,100.0
389313.0,389314.0,100.0,100.0
389469.0,389469.0,100.0,100.0
389633.0,389633.0,100.0,100.0
389646.0,389646.0,100.0,100.0
389665.0,389665.0,100.0,100.0
381834.0,389670.0,100.0,100.0
389695.0,389696.0,100.0,100.0
389918.0,389918.0,100.0,100.0
127581.0,389999.0,99.743,100.0
389998.0,389999.0,100.0,100.0
390083.0,390083.0,100.0,100.0
390127.0,390127.0,100.0,100.0
390227.0,390208.0,95.268,100.0
390258.0,390260.0,100.0,100.0
390322.0,390323.0,100.0,100.0
390450.0,390450.0,100.0,100.0
390552.0,390552.0,100.0,100.0
390605.0,390605.0,100.0,100.0
390632.0,390632.0,100.0,100.0
390761.0,390761.0,100.0,100.0
390809.0,390809.0,100.0,100.0
390877.0,390877.0,100.0,100.0
